id,name,host_name,host_since,latitude,longitude,room_type,accommodates,price,price_nzd,minimum_nights,number_of_reviews,last_review,review_scores_rating,region_name,region_parent_name
l43511040,Rental unit in Auckland · ★5.0 · 2 bedrooms · 2 beds · 1 bath,Todd,2020-05-21,-36.85707,174.75593,Entire home/apt,4,$206.00,206.0,7,7,2023-04-10,5.0,Waitematā and Gulf Ward,Auckland
l49197631,Guest suite in Haruru · 1 bedroom · 1 private bath,Christine,2021-04-13,-35.29247,174.00048,Private room,2,$190.00,190.0,1,1,2022-12-25,5.0,Bay of Islands-Whangaroa Ward,Far North District
l41438524,Home in Richmond · ★4.50 · 5 bedrooms · 11 beds · 3.5 baths,Natalie,2019-12-23,-41.3454,173.18077,Entire home/apt,8,$580.00,580.0,5,3,2023-01-15,4.5,Richmond Ward,Tasman District
l759113406390500730,Townhouse in Auckland · ★4.30 · 2 bedrooms · 3 beds · 2 baths,Lei,2022-09-27,-36.95272,174.7989,Entire home/apt,4,$275.00,275.0,2,10,2023-02-11,4.3,Manukau Ward,Auckland
l912536758425028277,Rental unit in Auckland · ★5.0 · Studio · 1 bed · 1 bath,Stefan,2016-08-06,-36.8406047,174.7651039,Entire home/apt,2,$130.00,130.0,2,3,2023-08-24,5.0,Waitematā and Gulf Ward,Auckland
l24189366,Home in Woodville · ★5.0 · 2 bedrooms · 4 beds · 1 shared bath,Bettina,2018-04-04,-40.3416,175.86709,Private room,5,$50.00,50.0,1,54,2023-08-05,5.0,South Tararua Ward,Tararua District
l768345072919591946,Home in Masterton · ★5.0 · 3 bedrooms · 3 beds · 1 bath,Sophie,2013-08-15,-40.9641,175.64289,Entire home/apt,4,$300.00,300.0,2,3,2023-04-09,5.0,Area Outside Ward,Masterton District
l47480371,Home in Queenstown · ★4.72 · 5 bedrooms · 7 beds · 2 baths,Emily,2016-03-14,-45.03154,168.68185,Entire home/apt,10,$632.00,632.0,2,64,2023-08-19,4.72,Queenstown-Wakatipu Ward,Queenstown-Lakes District
l42028600,Guest suite in Cromwell · ★4.95 · Studio · 1 bed · 1 bath,Jo,2016-05-09,-45.04154000000001,169.20537,Entire home/apt,2,$113.00,113.0,1,122,2023-08-25,4.95,Cromwell Ward,Central Otago District
l47803467,Hotel in Christchurch · ★4.60 · 1 bedroom · 3 beds · 1 private bath,Hotel,2019-06-22,-43.53141,172.62773,Private room,3,$178.00,178.0,1,5,2023-07-24,4.6,Central Ward,Christchurch City
l888625585450925281,Home in Cambridge · 3 bedrooms · 4 beds · 2 baths,Fiona,2015-01-01,-37.917770000000004,175.49342,Entire home/apt,6,$360.00,360.0,2,1,2023-07-01,5.0,Cambridge Ward,Waipa District
l762266150102125816,Home in Roxburgh East · ★4.75 · 3 bedrooms · 4 beds · 1 bath,Vicki,2019-11-14,-45.526920000000004,169.30473999999995,Entire home/apt,6,$180.00,180.0,1,4,2023-02-18,4.75,Teviot Valley Ward,Central Otago District
l47720705,Rental unit in Wanaka · ★4.84 · 3 bedrooms · 5 beds · 2 baths,Florine,2021-01-13,-44.68931,169.13415,Entire home/apt,8,$339.00,339.0,1,76,2023-08-22,4.84,Wanaka Ward,Queenstown-Lakes District
l821455150559456553,Home in Auckland · 1 bedroom · 1 bed · 1 private bath,Arnavi,2019-04-09,-36.90054,174.70645,Private room,2,$80.00,80.0,1,2,2023-03-04,5.0,Whau Ward,Auckland
l815525816863157569,Rental unit in Auckland · ★4.17 · 2 bedrooms · 2 beds · 2 baths,Katie,2020-07-16,-36.846422429265324,174.76160084655763,Entire home/apt,4,$627.00,627.0,1,6,2023-08-03,4.17,Waitematā and Gulf Ward,Auckland
l738625891731294423,Vacation home in Lake Tekapo · ★5.0 · 3 bedrooms · 4 beds · 2 baths,Lake Tekapo Holiday Homes,2019-07-15,-44.01048,170.48886000000005,Entire home/apt,6,$245.00,245.0,2,4,2023-04-28,5.0,Pukaki Ward,Mackenzie District
l45976175,Home in Rotorua · ★4.61 · 4 bedrooms · 7 beds · 2 baths,InnList,2014-06-21,-38.15058,176.2488,Entire home/apt,10,$230.00,230.0,2,92,2023-08-15,4.61,Area Outside Ward,Rotorua District
l803226025207969463,Guest suite in Sandspit · ★4.91 · 2 bedrooms · 2 beds · 1 bath,Bridget,2019-02-04,-36.3947,174.72072,Entire home/apt,4,$150.00,150.0,2,11,2023-07-19,4.91,Rodney Ward,Auckland
l36794456,Home in Kawakawa · 1 bedroom · 1 bed · 1.5 shared baths,Vishal,2018-05-30,-35.38988,174.06859,Private room,2,$128.00,128.0,1,0,,,Bay of Islands-Whangaroa Ward,Far North District
l816694944467041411,Home in Tauranga · ★4.50 · 1 bedroom · 2 beds · 1 shared bath,Stella Yoga,2022-06-24,-37.67572,176.13518,Private room,2,$69.00,69.0,1,8,2023-04-24,4.5,Otumoetai-Pyes Pa Ward,Tauranga City
l961817781947287751,Home in Dunedin · ★New · 1 bedroom · 1 bed · 1 shared bath,Muhammad Umer,2023-02-22,-45.84678542981382,170.5127225741029,Private room,1,$54.00,54.0,1,0,,,Area Outside Ward,Dunedin City
l9481291,Bed and breakfast in Hokitika · ★4.45 · 3 bedrooms · 2 beds · 1 private bath,Jan And Ron,2015-08-29,-42.72898,170.99923,Private room,3,$190.00,190.0,1,11,2022-12-31,4.45,Hokitika Ward,Westland District
l22471135,Home in Herbertville · ★4.90 · 3 bedrooms · 5 beds · 2 baths,Lynne,2017-03-03,-40.49434,176.55504,Entire home/apt,6,$170.00,170.0,2,30,2023-08-12,4.9,North Tararua Ward,Tararua District
l30965233,Bed and breakfast in Kaikoura · ★5.0 · 1 bedroom · 1 bed · 1 bath,Liam,2013-08-17,-42.34108,173.69565,Hotel room,2,$240.00,240.0,1,9,2023-07-14,5.0,Area Outside Ward,Kaikoura District
l5058544,Chalet in Hanmer Springs · ★4.97 · 1 bedroom · 1 bed · 1 bath,Mike And Lizzy,2015-01-14,-42.53535,172.77488,Entire home/apt,2,$260.00,260.0,2,116,2023-07-14,4.97,West Ward,Hurunui District
l11548296,Home in Cambridge · ★4.50 · 1 bedroom · 2 beds · 1 bath,Dandi,2016-01-17,-37.89465,175.49098999999995,Private room,2,$138.00,138.0,1,4,2019-04-21,4.5,Cambridge Ward,Waipa District
l19332646,Guest suite in Paraparaumu · 1 bedroom · 1 bed · 1 private bath,Carole,2017-06-13,-40.9126,174.9928,Private room,2,$150.00,150.0,1,2,2017-09-23,5.0,Paraparaumu Ward,Kapiti Coast District
l46039097,Home in Kaiteriteri · ★5.0 · 5 bedrooms · 7 beds · 2.5 baths,Amanda,2020-10-14,-41.0388,173.00623000000004,Entire home/apt,10,$325.00,325.0,2,37,2023-07-08,5.0,Motueka Ward,Tasman District
l643206972253468197,Guesthouse in Hamilton · ★4.26 · 1 bedroom · 1 bed · 1 bath,Amrit,2015-12-21,-37.74798,175.24893,Entire home/apt,3,$88.00,88.0,1,57,2023-08-15,4.26,West Ward,Hamilton City
l37220365,Home in Papamoa · ★4.94 · 3 bedrooms · 4 beds · 2 baths,De'Arne,2019-07-28,-37.68345,176.25411,Entire home/apt,6,$565.00,565.0,2,16,2023-01-29,4.94,Mount Maunganui-Papamoa Ward,Tauranga City
l685612342127294908,Bed and breakfast in Longbush · ★5.0 · 4 bedrooms · 5 beds · 2.5 baths,Laureen,2011-10-04,-41.11822,175.59614,Private room,8,$690.00,690.0,2,5,2023-03-18,5.0,Area Outside Ward,Carterton District
l49600449,Bed and breakfast in Christchurch · ★4.86 · Studio · 3 beds · 1.5 shared baths,Libby,2016-06-28,-43.5022,172.56846000000004,Private room,6,$87.00,87.0,2,37,2023-01-21,4.86,Waimairi Ward,Christchurch City
l969206783115806570,Bed and breakfast in Balclutha · ★New · 10 bedrooms · 30 beds · 5 shared baths,James,2023-08-30,-46.24011749029519,169.7159367781442,Private room,16,$56.00,56.0,1,0,,,Balclutha Ward,Clutha District
l859700410198641365,Rental unit in Tanners Point · ★4.80 · 1 bedroom · 4 beds · 1 bath,Gonny,2022-07-12,-37.4857302,175.9208045,Entire home/apt,4,$70.00,70.0,2,5,2023-08-25,4.8,Katikati-Waihi Beach Ward,Western Bay of Plenty District
l40536494,Guest suite in Tauranga · ★4.99 · 1 bedroom · 1 bed · 1 bath,Jools,2016-06-12,-37.6404,176.18795,Entire home/apt,2,$250.00,250.0,2,94,2021-04-11,4.99,Mount Maunganui-Papamoa Ward,Tauranga City
l841691487037081480,Home in Auckland · 1 bedroom · 1 bed · 1 shared bath,Catherine And Tim,2023-03-07,-36.76108,174.75669,Private room,2,$88.00,88.0,2,1,2023-03-13,5.0,North Shore Ward,Auckland
l19473285,Home in Mahia · ★4.93 · 4 bedrooms · 8 beds · 2.5 baths,Lucy,2017-06-23,-39.08994000000001,177.87503,Entire home/apt,12,$300.00,300.0,2,30,2023-05-06,4.93,Wairoa General Ward,Wairoa District
l949295313776654848,Home in Raglan · ★5.0 · 2 bedrooms · 2 beds · 2 baths,Lisa,2016-03-01,-37.80538889519843,174.8441380647472,Entire home/apt,4,$261.00,261.0,1,5,2023-09-03,5.0,Raglan Ward,Waikato District
l51046976,Serviced apartment in Christchurch · ★4.67 · 1 bedroom · 1 bed · 1 bath,Jackson,2016-08-10,-43.53067,172.63855,Entire home/apt,2,$173.00,173.0,5,3,2023-08-04,4.67,Central Ward,Christchurch City
l42458463,Guest suite in Wellington · 1 bedroom · 1.5 baths,Julie,2020-02-21,-41.2195,174.89006,Entire home/apt,2,$99.00,99.0,2,2,2020-08-13,5.0,Harbour Ward,Lower Hutt City
l51070420,Home in Jacks Point · ★5.0 · 3 bedrooms · 4 beds · 2 baths,Tāhuna Hideaway,2020-05-25,-45.07228,168.74712,Entire home/apt,6,$589.00,589.0,2,8,2023-08-26,5.0,Queenstown-Wakatipu Ward,Queenstown-Lakes District
l11147160,Farm stay in Wallingford · ★4.86 · 4 bedrooms · 10 beds · 1.5 baths,Hannah,2015-11-11,-40.20381,176.63308999999995,Entire home/apt,10,$200.00,200.0,1,91,2023-04-27,4.86,Aramoana-Ruahine Ward,Central Hawke's Bay District
l10768809,Rental unit in Auckland · ★4.78 · 2 bedrooms · 2 beds · 2 baths,Emma,2016-01-22,-36.77681,175.00648,Entire home/apt,4,$350.00,350.0,2,80,2022-09-03,4.78,Waitematā and Gulf Ward,Auckland
l708210997715076953,Rental unit in Raglan · ★4.82 · 1 bedroom · 2 beds · 1 bath,Lara,2021-09-30,-37.80354000000001,174.86971,Entire home/apt,3,$150.00,150.0,1,33,2023-08-19,4.82,Raglan Ward,Waikato District
l6416239,Cottage in Te Anau · ★4.86 · 3 bedrooms · 7 beds · 2 baths,Lynette  (Tinny),2015-03-07,-45.41178789999999,167.72332340000003,Entire home/apt,8,$389.00,389.0,1,298,2023-08-17,4.86,Mararoa Waimea Ward,Southland District
l31772334,Guest suite in Mosgiel · ★4.93 · 1 bedroom · 1 bed · 1 bath,Michelle,2016-07-16,-45.86112,170.37053,Entire home/apt,4,$115.00,115.0,1,152,2023-09-03,4.93,Area Outside Ward,Dunedin City
l11264579,Rental unit in Queenstown · ★4.76 · 1 bedroom · 1 bed · 1 bath,Nelson,2016-02-15,-45.023920000000004,168.66294,Entire home/apt,2,$249.00,249.0,2,222,2023-07-23,4.76,Queenstown-Wakatipu Ward,Queenstown-Lakes District
l913159377090174360,Home in Auckland · 3 bedrooms · 4 beds · 2.5 baths,Amy,2014-06-19,-36.814697142940666,174.74356621904911,Entire home/apt,6,$336.00,336.0,6,1,2023-07-13,5.0,North Shore Ward,Auckland
l8956590,Rental unit in Wellington · ★4.56 · 1 bedroom · 1 bed · 1 bath,Libby,2015-07-28,-41.285709999999995,174.77444,Entire home/apt,2,$130.00,130.0,2,249,2023-08-12,4.56,Pukehīnau/Lambton Ward,Wellington City
l42833988,Home in Rotorua · ★4.84 · 3 bedrooms · 6 beds · 1 bath,InnList,2014-06-21,-38.155409999999996,176.2903,Entire home/apt,9,$252.00,252.0,2,106,2023-08-20,4.84,Area Outside Ward,Rotorua District
l11794904,Home in Christchurch · ★5.0 · Studio · 2 beds · 0 shared baths,Margaret,2016-03-09,-43.45986,172.6198,Private room,1,$92.00,92.0,1,11,2023-02-12,5.0,Harewood Ward,Christchurch City
l938717159721731628,Home in Clyde · ★New · 3 bedrooms · 7 beds · 2.5 baths,Jane,2016-03-22,-45.1840521,169.3158969,Entire home/apt,10,$225.00,225.0,2,0,,,Vincent Ward,Central Otago District
l851645481861102623,Home in Hanmer Springs · 4 bedrooms · 4 beds · 3 baths,Hanmer Holiday Homes,2016-10-06,-42.515710999999996,172.82703569999995,Entire home/apt,10,$248.00,248.0,1,0,,,West Ward,Hurunui District
l24919594,Rental unit in Queenstown · ★4.78 · 1 bedroom · 2 beds · 1 bath,Teresa,2013-03-04,-45.02219,168.69696000000005,Entire home/apt,3,$210.00,210.0,3,190,2023-08-20,4.78,Queenstown-Wakatipu Ward,Queenstown-Lakes District
l30355759,Condo in Auckland · 2 bedrooms · 2 beds · 1 bath,Zhu,2016-05-05,-36.6992,174.7845,Entire home/apt,4,$115.00,115.0,1,0,,,Albany Ward,Auckland
l40179057,Home in Tikitere · ★5.0 · 2 bedrooms · 3 beds · 1 bath,Tam,2017-02-07,-38.049859999999995,176.41508000000005,Entire home/apt,2,$450.00,450.0,2,3,2020-02-15,5.0,Area Outside Ward,Rotorua District
l39365757,Home in Taupo · ★4.72 · 2 bedrooms · 1 bed · 1 shared bath,Camilla,2018-03-11,-38.684909999999995,176.08819,Private room,2,$60.00,60.0,1,32,2023-01-09,4.72,Taupō Ward,Taupo District
l21297329,Rental unit in Russell · ★4.85 · 1 bedroom · 2 beds · 1 bath,Gilda,2017-10-10,-35.2612,174.12735,Entire home/apt,2,$100.00,100.0,2,179,2020-03-21,4.85,Bay of Islands-Whangaroa Ward,Far North District
l52703219,Cottage in Chatham Islands Territory · ★5.0 · 3 bedrooms · 5 beds · 1 bath,Elizabeth,2015-02-04,-44.004909999999995,-176.53992,Entire home/apt,6,$250.00,250.0,3,8,2023-07-27,5.0,Area Outside Ward,Chatham Islands Territory
l8745080,Guest suite in Wellington · ★4.92 · 1 bedroom · 1 bed · 1 private bath,Shenagh,2014-04-03,-41.260329999999996,174.77992,Private room,3,$101.00,101.0,2,128,2023-03-18,4.92,Wharangi/Onslow-Western Ward,Wellington City
